Domain,Top 1 Hard Skill,Top 2 Hard Skill,Top 3 Hard Skill,Top 4 Hard Skill,Top 5 Hard Skill,Top 6 Hard Skill,Top 7 Hard Skill,Top 8 Hard Skill,Top 9 Hard Skill,Top 10 Hard Skill
Other,SQL (Programming Language),Python (Programming Language),Quantitative Data Analysis,R (Programming Language),Data Visualization,Tableau (Business Intelligence Software),Extract Transform Load (ETL),Power BI,Mapping,Data Modeling
Data Governance Analyst,Data Governance,SQL (Programming Language),Data Management,Customer Data Integration,Hyperion Data Management,Data Modeling,Data Visualization,Business Process,Product Data Management,Quantitative Data Analysis
Data Engineers,Data Engineering,SQL (Programming Language),Python (Programming Language),Extract Transform Load (ETL),Data Modeling,Amazon Data Pipeline,Customer Data Integration,Clinical Data Warehouse,Data Visualization,Pipelining
BI Data Analysts,Business Intelligence,SQL (Programming Language),Tableau (Business Intelligence Software),Data Visualization,Power BI,Python (Programming Language),Data Modeling,Customer Data Integration,Quantitative Data Analysis,R (Programming Language)
Marketing Data Analysts,SQL (Programming Language),Data Visualization,Tableau (Business Intelligence Software),Python (Programming Language),Ad Hoc Testing,Accounting,Product Data Management,R (Programming Language),Branding,Quantitative Data Analysis
Healthcare Data Analysts,SQL (Programming Language),Tableau (Business Intelligence Software),Data Modeling,Python (Programming Language),Data Visualization,Quantitative Data Analysis,SAS (Software),Data Presentation,R (Programming Language),Ad Hoc Testing
Operations Data Analysts,SQL (Programming Language),Data Visualization,Python (Programming Language),Tableau (Business Intelligence Software),Quantitative Data Analysis,R (Programming Language),Ad Hoc Testing,Extract Transform Load (ETL),Power BI,Customer Data Integration
Technical Data Analysts,SQL (Programming Language),Tableau (Business Intelligence Software),Python (Programming Language),Data Visualization,Quantitative Data Analysis,Power BI,Extract Transform Load (ETL),Business Requirements,Data Modeling,Customer Data Integration
Financial Data Analysts,SQL (Programming Language),Accounting,Tableau (Business Intelligence Software),Python (Programming Language),Quantitative Data Analysis,Power BI,Data Visualization,Ad Hoc Testing,Data Modeling,Forecasting
Data Scientists,Python (Programming Language),Machine Learning,SQL (Programming Language),R (Programming Language),Data Visualization,Machine Learning Methods,Quantitative Data Analysis,Tableau (Business Intelligence Software),Predictive Modeling,Mathematical Statistics
Business Data Analysts,SQL (Programming Language),Tableau (Business Intelligence Software),Python (Programming Language),Data Visualization,Quantitative Data Analysis,Customer Data Integration,Accounting,Ad Hoc Testing,Power BI,R (Programming Language)
Google Analytics expert,Google Analytics,SQL (Programming Language),Google Tag Manager,Data Visualization,Tableau (Business Intelligence Software),Accounting,Python (Programming Language),Quantitative Data Analysis,Google Sheets,Customer Data Integration
GIS Data Analysts,ArcGIS (GIS Software),SQL (Programming Language),Python (Programming Language),Mapping,Data Visualization,Tableau (Business Intelligence Software),Quantitative Data Analysis,R (Programming Language),Data Management,Product Data Management
Qualitative Data Analysts,Quantitative Data Analysis,Data Visualization,SQL (Programming Language),Tableau (Business Intelligence Software),Python (Programming Language),R (Programming Language),Ad Hoc Testing,Data Collection,Power BI,Exploratory Data Analysis
Risk Analysts,SQL (Programming Language),Risk Management,Python (Programming Language),Tableau (Business Intelligence Software),R (Programming Language),Quantitative Data Analysis,Data Visualization,SAS (Software),Project Management,Data Processing
Excel expert,SQL (Programming Language),Tableau (Business Intelligence Software),Quantitative Data Analysis,Python (Programming Language),Power BI,Data Visualization,SAS (Software),Calculations,Accounting,Data Collection
HR Data Analysts,SQL (Programming Language),Data Visualization,Human Resources Information System (HRIS),Tableau (Business Intelligence Software),Workday (Software),Power BI,Quantitative Data Analysis,Human Resources Concepts,HR Data Warehouse,Accounting
Supply Chain Data Analysts,Supply Chain,Logistics,SQL (Programming Language),Tableau (Business Intelligence Software),Python (Programming Language),Power BI,Data Visualization,R (Programming Language),Project Management,Ad Hoc Testing
Quality Data Analysts,SQL (Programming Language),Quality Improvement,Root Cause Analysis,Extract Transform Load (ETL),Quantitative Data Analysis,Data Governance,Tableau (Business Intelligence Software),Python (Programming Language),Quality Control,Project Management
